TimeStamp Speed
1499328689476 0.127511737089
1499328690478 10.1390119522
1499328691480 9.96408782435
1499328692490 8.47869061876
1499328693486 6.80218544367
1499328695488 8.92768047928
1499328697488 8.321824
1499328699489 9.55011294353
1499328701492 14.3678162756
1499328703493 13.584071964
1499328705494 12.7262448776
1499328707495 7.28610094953
1499328709495 7.57764
1499328711496 5.29898250875
1499328713497 19.2534825175
1499328715500 16.230816
1499328717499 8.98003798101
1499328719500 11.0214492754
1499328721503 19.3740429356
1499328723517 18.5301509245
1499328725505 13.3506126937
1499328727505 13.857032
1499328729505 11.901512
1499328731506 10.0930414793
1499328733508 14.7114405594
1499328735508 13.1823048476
1499328737511 11.3632447552
1499328739511 12.770632
1499328741512 17.7266166917
1499328743513 17.4062888556
1499328745514 12.6773813093
1499328747514 14.99232
1499328749515 0.0
1499328752496 0.0
