TimeStamp Speed
1499329.50346 0.48888
1499329.50446 0.0
1499329.50646 6.13509245377
1499329.50846 11.1408935532
1499329.51047 7.36036
1499329.51247 9.4965034965
1499329.51447 11.911852074
1499329.51647 10.7336971514
1499329.51847 9.87044077961
1499329.52047 8.70314442779
1499329.52247 9.761304
1499329.52447 7.06350024988
1499329.52647 7.25895452274
1499329.52847 8.43168015992
1499329.53047 8.14392803598
1499329.53248 12.46644
1499329.53448 13.9315462269
1499329.53648 11.9227106447
1499329.53848 9.538592
1499329.54048 10.7608435782
1499329.54248 9.609208
1499329.54448 8.87145227386
1499329.54648 7.012712
1499329.54848 11.4395042479
1499329.55048 11.1028885557
1499329.55248 10.869432
1499329.55448 7.8413986014
1499329.55649 6.16385628743
1499329.55849 5.47541258741
1499329.56049 6.849752
1499329.56249 4.35428685657
1499329.56449 0.0
1499329.56679 0.0
