TimeStamp Speed
1.50044600642 0.0
1.50044600742 77.3323041642
1.50044600893 102.576010481
1.50044601044 102.892146802
1.50044601195 102.90817861
1.50044601346 102.751915881
1.50044601497 102.731949984
1.50044601648 102.392564234
1.50044601799 103.053089838
1.5004460195 102.655788728
1.50044602101 102.679820516
1.50044602252 102.85605363
1.50044602403 102.343375481
1.50044602554 102.535629787
1.50044602705 102.771960242
1.50044602856 102.799979457
1.50044603007 102.616010485
1.50044603158 102.836068439
1.50044603309 102.727884093
1.5004460346 102.471545018
1.50044603611 102.607725151
1.50044603762 102.359396673
1.50044603913 102.575666571
1.50044604064 102.291658762
1.50044604215 125.505012658
1.50044604266 100.94230777
1.50044604417 83.3751468154
1.50044604573 98.1370607387
1.50044604719 82.9416494406
1.5004460487 95.4516489137
1.50044605022 90.5282572823
1.50044605172 102.205574841
1.50044605323 102.6997651
1.50044605474 102.89610661
1.50044605625 102.799979457
1.50044605776 102.840032438
1.50044605927 102.439502634
1.50044606078 102.663799324
1.50044606229 102.655788728
1.5004460638 102.67180992
1.50044606531 102.575682767
1.50044606682 94.1405250979
1.50044606833 0.0
1.50044606984 0.0
1.50044607127 0.0
